sample_id,delta_consistency_mse,delta_consistency_max_error,delta_consistency_error,absolute_shape,delta_shape,status
sample_000336,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000337,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000338,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000339,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000340,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000341,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000342,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000343,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000344,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000345,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000346,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000347,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000348,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000349,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000350,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000351,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000352,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000353,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000354,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000355,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000356,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000357,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000358,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000359,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000360,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000361,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000362,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000363,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000364,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000365,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000366,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000367,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000368,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000369,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000370,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000371,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000372,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000373,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000374,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000375,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000376,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000377,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000378,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000379,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
